,flux,z,f,enz,met_concentration,reaction,gpr
ASPTA_reverse,2.1793242854222576,1.0,20.76186909587785,0.0012550659371355366,;oaa_c : 1.9602673519602628e-05;akg_c : 4.999999992621096e-07;asp__L_c : 1.5848638109033868e-06;glu__L_c : 4.1164443673732045e-05,glu__L_c + oaa_c --> akg_c + asp__L_c,b0928 or b4054
ADK1,1.9533002541731133,1.0,7.638366954831647,0.00041281845692730016,;adp_c : 7.534877424624987e-07;amp_c : 7.534877424624987e-07;atp_c : 7.534877424624995e-06,amp_c + atp_c --> 2.0 adp_c,b0474
RPI_reverse,1.646693169687211,1.0,8.016380882991319,7.002061724687545e-06,;r5p_c : 4.999999992621096e-07;ru5p__D_c : 5.295354334494958e-06,ru5p__D_c --> r5p_c,b2914 or b4090
FADRx,1.6270666506296023,1.0,32.69035402673336,3.91432737844311e-05,;h_c : 1.0;fad_c : 0.02000000000856292;nadh_c : 0.0008939540152529535;fadh2_c : 4.999999992621096e-07;nad_c : 0.008939540152529537,fad_c + h_c + nadh_c --> fadh2_c + nad_c,b3844
RPE,1.6202317859597408,1.0,-3.6203187076543943,1.7001493725583016e-05,;xu5p__D_c : 8.055488385357044e-05;ru5p__D_c : 5.295354334494958e-06,ru5p__D_c --> xu5p__D_c,b3386
PSP_L,1.2802986708504762,1.0,47.61782831146007,8.414945274930768e-06,;pser__L_c : 4.999999992621096e-07;pi_c : 4.999999992620972e-07;h2o_c : 1.0;ser__L_c : 4.999999992621096e-07,h2o_c + pser__L_c --> pi_c + ser__L_c,b4388
PSERT,1.2802986708504762,1.0,49.13439481115103,0.0017046354117129727,;pser__L_c : 4.999999992621096e-07;akg_c : 4.999999992621096e-07;3php_c : 0.013732715807001136;glu__L_c : 4.1164443673732045e-05,3php_c + glu__L_c --> akg_c + pser__L_c,b0907
SERA,1.2802986708504762,1.0,-9.486380882991458,0.001981702428335567,;akg_c : 4.999999992621096e-07;3pg_c : 0.0007832781405536207;S2hglut_c : 4.999999992621096e-07;3php_c : 0.013732715807001136,3pg_c + akg_c --> 3php_c + S2hglut_c,
SHGO,1.2802986708504762,1.0,101.0,0.0026388462200668825,;akg_c : 4.999999992621096e-07;o2_c : 4.999999992621096e-07;h2o2_c : 4.999999992621096e-07;S2hglut_c : 4.999999992621096e-07,S2hglut_c + o2_c --> akg_c + h2o2_c,b2660
GLNS,1.165991858855012,1.0,56.54631224231556,0.000505494081576099,;pi_c : 4.999999992620972e-07;atp_c : 7.534877424624995e-06;gln__L_c : 3.6068070442731983e-06;h_c : 1.0;nh4_c : 0.01999999225362017;adp_c : 7.534877424624987e-07;glu__L_c : 4.1164443673732045e-05,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,b3870
TALA,0.95195880703834,1.0,-0.23564050792792646,0.0006713808786612415,;g3p_c : 0.01391462294057237;f6p_c : 4.999999992621096e-07;s7p_c : 4.999999992621096e-07;e4p_c : 0.02000000000856292,g3p_c + s7p_c --> e4p_c + f6p_c,b0008 or b2464
TKT1,0.95195880703834,1.0,-9.486380882991366,0.00037583933278977636,;g3p_c : 0.01391462294057237;r5p_c : 4.999999992621096e-07;s7p_c : 4.999999992621096e-07;xu5p__D_c : 8.055488385357044e-05,r5p_c + xu5p__D_c --> g3p_c + s7p_c,b2935 or b2465
