,flux,z,f,enz,met_concentration,reaction,gpr
SHCHF,0.0001588624050402218,1.0,-9999.0,6.483169481597595e-06,;h_c : 1.0;sheme_c : 4.999999992621096e-07;fe2_c : 4.999999992621096e-07;scl_c : 4.999999992621096e-07,fe2_c + scl_c --> 3.0 h_c + sheme_c,b3368
AMPMS2,0.0001588624050402218,1.0,285.19122367272627,0.0004466454444603752,;h_c : 1.0;h2o_c : 1.0;nadh_c : 4.999999992621078e-07;nad_c : 4.999999992621083e-06;air_c : 4.999999992621096e-07;4ampm_c : 0.02000000000856292;for_c : 2.0405659034444357e-06,air_c + h2o_c + nad_c --> 4ampm_c + 2.0 for_c + 3.0 h_c + nadh_c,b3994
TMPPP,0.0001588624050402218,1.0,26.289107329894957,5.0781466880097904e-05,;h_c : 1.0;ppi_c : 2.1045792182462608e-06;thmmp_c : 1.2513153124610112e-05;2mahmp_c : 6.6433934256965186e-06;4mpetz_c : 0.02000000000856292,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c,b3993
4HTHRK,0.0001588624050402218,1.0,20.738366954831648,2.0676979228801352e-07,;h_c : 1.0;adp_c : 4.999999992621078e-07;phthr_c : 4.999999992621096e-07;atp_c : 4.999999992621083e-06;4hthr_c : 4.999999992621096e-07,4hthr_c + atp_c --> adp_c + h_c + phthr_c,b0003
OPHBDC,0.0001588624050402218,1.0,46.39874824698606,9.29339605340154e-07,;h_c : 1.0;3ophb_c : 4.999999992621096e-07;2oph_c : 4.999999992621096e-07;co2_c : 3.5532535700738193e-07,3ophb_c + h_c --> 2oph_c + co2_c,b3843
UPPDC1,0.0001588624050402193,1.0,183.59499298794424,2.138219332007287e-06,;uppg3_c : 4.999999992621096e-07;h_c : 1.0;co2_c : 3.5532535700738193e-07;cpppg3_c : 4.999999992621096e-07,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c,b3997
TYRL,0.0001588624050402193,1.0,-9999.0,0.00019781394991871313,;4crsol_c : 4.999999992621096e-07;nadp_c : 0.0020000000008562916;dhgly_c : 4.999999992621096e-07;tyr__L_c : 4.999999992621096e-07;nadph_c : 0.02000000000856292;dad_5_c : 4.999999992621096e-07;h_c : 1.0;amet_c : 0.02000000000856292;met__L_c : 0.02000000000856292,amet_c + nadph_c + tyr__L_c --> 4crsol_c + dad_5_c + dhgly_c + h_c + met__L_c + nadp_c,b3991
PPPGO,0.0001588624050402193,1.0,-9999.0,3.401593171123933e-07,;ppp9_c : 4.999999992621096e-07;pppg9_c : 4.999999992621096e-07;h2o_c : 1.0;o2_c : 4.999999992621096e-07,1.5 o2_c + pppg9_c --> 3.0 h2o_c + ppp9_c,b3850
CPPPGO,0.0001588624050402193,1.0,392.1796681825121,6.058411917730227e-06,;h_c : 1.0;h2o_c : 1.0;cpppg3_c : 4.999999992621096e-07;pppg9_c : 4.999999992621096e-07;o2_c : 4.999999992621096e-07;co2_c : 3.5532535700738193e-07,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c,b2436
FCLT,0.0001588624050402193,1.0,-9999.0,5.513124719919973e-07,;ppp9_c : 4.999999992621096e-07;h_c : 1.0;fe2_c : 4.999999992621096e-07;pheme_c : 4.999999992621096e-07,fe2_c + ppp9_c --> 2.0 h_c + pheme_c,b2431 or b0475 or b1019
DM_4crsol_c,0.0001588624050402193,1.0,-9999.0,-9999.0,;4crsol_c : 4.999999992621096e-07,4crsol_c --> ,
TMPK,0.00015886240504014992,1.0,-9999.0,6.728782294368626e-06,;thmpp_c : 4.999999992621096e-07;adp_c : 4.999999992621078e-07;thmmp_c : 1.2513153124610112e-05;atp_c : 4.999999992621083e-06,atp_c + thmmp_c --> adp_c + thmpp_c,b0417
