,kcat,MW,kcat_MW
THIORDXi,21554.20653,20.46960001,1052.98621
THRA,53168.68951,36.4947,1456.887973
THRA2,17869.47753,36.49470001,489.645826
THRD,74588.90951,37.239,2002.978316
THRD_L,57035.45056,35.232,1618.853615
THRS,14400,47.11379995,305.642933
THZPSN3,9779.036108,204.5598994,47.805245
TKT1,182904.1236,72.21169999,2532.887657
TKT1_reverse,21768.90264,72.21170008,301.459495
TKT2,324065.5255,72.2117,4487.714948
TKT2_reverse,149806.8491,72.2117,2074.550926
TMAOR1,100063.9026,144.0937999,694.435865
TMAOR1pp,26365.14013,129.2504,203.984979
TMAOR2,42205.22924,144.0938001,292.901077
TMAOR2pp,18727.86361,129.2503998,144.895982
TMDK1,9983.48333,23.45660003,425.615107
TMDPP,30479.00062,47.20710002,645.644418
TMDPP_reverse,12184.75745,47.20709993,258.112815
TMDS,26640,30.47969999,874.024351
TMK,9301.67635,32.39730003,287.112702
TMPK,828,35.07080066,23.609384
TMPPP,72,23.01529814,3.128354
TPRDCOAS,23356.11375,31.6444,738.080474
TRDR,36024.44087,46.42960001,775.893845
TRE6PH,31368.07446,63.83769997,491.372253
TRE6PP,9577.301641,29.17529996,328.267461
TRE6PS,26430.17295,53.61120003,492.997227
TREH,19724.51893,63.69670003,309.663121
TREHpp,42399.81511,63.63670001,666.279287
TRPAS2,23909.43164,52.77349994,453.057532
TRPAS2_reverse,18000,52.77350001,341.080277
TRPS1,10429.37243,71.7071998,145.443867
TRPS2,9309.205094,71.70719993,129.82246
TRPS3,35739.90722,71.70719998,498.414486
TRSARr,53910.27997,30.42739999,1771.767551
TRSARr_reverse,21843.31589,30.42739998,717.883089
TYRL,21.6,26.89611376,0.80309
TYROXDApp,12377.02951,84.37869985,146.684288
TYRPpp,9537.079284,26.10350003,365.356342
TYRTA,69547.95976,34.0936,2039.912469
TYRTA_reverse,24103.01587,34.09359998,706.965996
U23GAAT,129600,36.0385,3596.154113
UAAGDS,28800,53.3436,539.89607
UACGALPpp,13846.87087,60.82399999,227.654723
UACGAMPpp,11672.57338,60.82399997,191.907362
UACMAMO,34516.73316,45.83869999,753.00419
UAG2E,57209.15714,42.24459999,1354.235977
UAG2E_reverse,64758.73007,42.24459999,1532.946935
UAGAAT,17547.89693,36.71949997,477.890411
UAGAAT_reverse,9875.081682,36.71949995,268.932902
UAGCVT,11880,44.81760001,265.074435
UAGDP,57600,49.19009999,1170.967329
UAGPT3,61200,37.8147,1618.418234
UAMAGS,104400,46.97359999,2222.524993
UAMAS,50400,53.62599998,939.842614
UAPGR,154800,37.851,4089.720219
UDCPDP,15096.38615,22.39859998,673.987935
UDCPDPpp,22302.93351,22.39859999,995.728908
UDCPDPS,504,28.4440993,17.718965
UDPG4E,13617.81289,37.26510002,365.430735
UDPG4E_reverse,59585.79647,37.2651,1598.970524
UDPGALM,651626.1936,42.9659,15166.12462
UDPGALPpp,15095.45394,60.82399991,248.182526
UDPGD,49328.26859,43.65689999,1129.907726
UDPGDC,10429.01417,74.28890001,140.384555
UDPGPpp,13977.35334,60.82400011,229.799969
UDPGPT,67455.14386,52.40799998,1287.1154
UDPGPT_reverse,46403.30621,52.40799997,885.4241
UDPKAAT,10842.16108,41.64980005,260.317242
UDPKAAT_reverse,44134.30026,41.64980002,1059.652153
UGCIAMH,257942.8563,28.73,8978.171121
UGLCURPpp,14359.62176,60.82400003,236.084798
UGLT,67891.37389,39.64570001,1712.452394
UGLT_reverse,10608.99987,39.64570006,267.595221
UGLYCH,91417.25945,18.1696,5031.330324
UGMDDS,57600,47.44719999,1213.981015
UHGADA,75600,33.9559,2226.417206
ULA4NFT,14287.53528,74.28889998,192.323958
ULA4Ntppi,36865.93205,26.27709999,1402.968062
UM3PL,9421.28154,49.87410006,188.901284
UM4PCP,9321.330906,33.56749998,277.689161
UM4PL,9308.520536,49.87410005,186.640371
UMPK,42025.02012,24.74630001,1698.234488
UMPK_reverse,27813.81124,24.74630001,1123.958379
UPLA4FNF,772257.6065,33.1118,23322.73107
UPLA4FNT,32384.40508,36.33910001,891.172458
UPP3MT,9455.38735,49.95139989,189.291739
UPP3S,3600,27.79789994,129.506186
UPPDC1,2916,39.24810008,74.29659
UPPRT,10152.73567,22.5333,450.565859
URACPAH,23399.76966,25.20869999,928.241824
URDGLYCD,10345.53972,37.96709995,272.486962
URIH,12358.14336,32.56080001,379.540532
URIK1,19423.5383,24.35310001,797.579704
URIK2,9433.623334,24.35310001,387.36848
USHD,20475.11943,26.8942,761.321007
VALTA,9473.113026,34.0936,277.85605
VALTA_reverse,31680,34.09359999,929.206655
VPAMTr,20916.2244,46.71119999,447.777501
VPAMTr_reverse,10207.799,46.71119999,218.53001
WCOS,78540.19837,44.06729999,1782.278433
X5PL3E,240986.0357,32.0066,7529.260706
XAND,65517.63512,129.7994,504.760693
XPPT,10439.90187,16.9706,615.175767
XTSNH,482024.5754,32.5608,14803.83085
XYHDL,174757.0033,88.07900001,1984.093862
XYLI1,23950.64821,49.74200003,481.497491
XYLI1_reverse,12143.93448,49.74199999,244.138444
XYLI2,37166.12269,49.74199998,747.177892
XYLI2_reverse,58957.93451,49.74199999,1185.274708
XYLK,24801.49779,52.61819997,471.348275
XYLK2,44532.4874,55.15480003,807.409099
YUMPS,17972.16522,32.91000001,546.100432
YUMPS_reverse,117059.4818,32.91,3556.957818
SERA,28540.16,44.18,646.06
ACONT,330983.27,93.4981,3539.999957
ACONT_reverse,330983.27,93.4981,3539.999957
