,flux,z,f,enz,met_concentration,reaction,gpr
ACACT1r,0.25174268519850784,1.0,28.557441963130003,0.0005005860262234688,;aacoa_c : 4.999999992621096e-07;accoa_c : 0.02000000000856292;coa_c : 4.999999992621096e-07,2.0 accoa_c --> aacoa_c + coa_c,b2342 or b2224 or b3845
DAPDC,0.24274550858625332,1.0,65.48218880095301,0.00032667509761415077,;lys__L_c : 4.999999992621096e-07;h_c : 1.0;26dap__M_c : 0.02000000000856292;co2_c : 9.9999999997618e-05,26dap__M_c + h_c --> co2_c + lys__L_c,b2838
ASPCT,0.23399803740165387,1.0,12.757440963129891,3.219798654239456e-05,;cbp_c : 4.999999992621096e-07;h_c : 1.0;asp__L_c : 4.999999992621096e-07;pi_c : 4.999999992620972e-07;cbasp_c : 1.602748314875118e-05,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,( b4244 and b4245 ) or b4245
OMPDC,0.23399803740165387,1.0,46.110908782517846,0.0006851007538936589,;co2_c : 9.9999999997618e-05;ump_c : 2.492081834037653e-06;orot5p_c : 4.999999992621096e-07;h_c : 1.0,h_c + orot5p_c --> co2_c + ump_c,b1281
DHORD2,0.23399803740165387,1.0,65.95639809217539,9.58326986606431e-05,;dhor__S_c : 0.00036647161992061484;orot_c : 0.003672162535402964;q8h2_c : 4.999999992621096e-07;q8_c : 4.999999992621096e-07,dhor__S_c + q8_c --> orot_c + q8h2_c,b0945
ORPT_reverse,0.23399803740165387,1.0,21.983602907824928,0.00012866046297475194,;prpp_c : 0.0012362301025760926;ppi_c : 3.4549857648675275e-05;orot5p_c : 4.999999992621096e-07;orot_c : 0.003672162535402964,orot_c + prpp_c --> orot5p_c + ppi_c,b3642
DHORTS_reverse,0.23399803740165387,1.0,-14.571280018435196,8.132780259175227e-05,;h2o_c : 1.0;dhor__S_c : 0.00036647161992061484;h_c : 1.0;cbasp_c : 1.602748314875118e-05,cbasp_c + h_c --> dhor__S_c + h2o_c,b1062
CHORM,0.22875563816566782,1.0,36.67128001843519,0.00015630672357572296,;chor_c : 0.0002094683955967488;pphn_c : 4.999999992621096e-07,chor_c --> pphn_c,b2599 or b2600
ADSS,0.2117219080894795,1.0,31.37356958622815,0.004064867458394567,;imp_c : 0.02000000000856292;dcamp_c : 4.999999992621096e-07;pi_c : 4.999999992620972e-07;gdp_c : 4.999999992621096e-07;gtp_c : 2.9832196241931154e-05;asp__L_c : 4.999999992621096e-07;h_c : 1.0,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,b4177
ADSL1r,0.2117219080894795,1.0,10.314881926259744,0.000824569097194994,;fum_c : 3.2432556969979344e-05;dcamp_c : 4.999999992621096e-07;amp_c : 5.411968104158752e-06,dcamp_c --> amp_c + fum_c,b1131
ARGSL,0.20923758665853498,1.0,1.9970536147997695,8.919763091656053e-05,;fum_c : 3.2432556969979344e-05;argsuc_c : 4.999999992621096e-07;arg__L_c : 5.581311219735733e-05,argsuc_c --> arg__L_c + fum_c,b3960
ARGSS,0.20923758665853498,1.0,14.557440963129832,0.0009171089956923589,;asp__L_c : 4.999999992621096e-07;ppi_c : 3.4549857648675275e-05;amp_c : 5.411968104158752e-06;atp_c : 5.411968104158758e-05;argsuc_c : 4.999999992621096e-07;h_c : 1.0;citr__L_c : 0.0003052660161617126,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,b3172
OCBT,0.20923758665853498,1.0,36.9178283114601,1.8612609908740955e-06,;cbp_c : 4.999999992621096e-07;orn_c : 0.005854553967638523;citr__L_c : 0.0003052660161617126;pi_c : 4.999999992620972e-07;h_c : 1.0,cbp_c + orn_c --> citr__L_c + h_c + pi_c,b4254 or b0273
ACGK,0.20923758665832537,1.0,-6.919074008298313,8.178173499074032e-05,;acg5p_c : 4.999999992621096e-07;adp_c : 5.411968104158752e-06;acglu_c : 0.0004861320074141147;atp_c : 5.411968104158758e-05,acglu_c + atp_c --> acg5p_c + adp_c,b3959
ACODA,0.20923758665832537,1.0,-6.803839055305091,1.295417736165999e-06,;ac_c : 0.000984057327574355;h2o_c : 1.0;orn_c : 0.005854553967638523;acorn_c : 4.999999992621096e-07,acorn_c + h2o_c --> ac_c + orn_c,b3957
ACOTA_reverse,0.20923758665832537,1.0,21.819074008298156,0.00021478593470908102,;akg_c : 4.999999992621096e-07;acg5sa_c : 0.02000000000856292;glu__L_c : 5.731168982612912e-06;acorn_c : 4.999999992621096e-07,acg5sa_c + glu__L_c --> acorn_c + akg_c,b2662 or b1748 or b3359 or b1302
ACGS,0.20923758665832537,1.0,46.37651497142812,0.0009364725429778412,;acglu_c : 0.0004861320074141147;glu__L_c : 5.731168982612912e-06;h_c : 1.0;coa_c : 4.999999992621096e-07;accoa_c : 0.02000000000856292,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,b2818
AGPR_reverse,0.20923758665832537,1.0,20.62747428472671,6.353987476808183e-05,;nadp_c : 0.0020000000008562916;acg5sa_c : 0.02000000000856292;pi_c : 4.999999992620972e-07;acg5p_c : 4.999999992621096e-07;h_c : 1.0;nadph_c : 0.02000000000856292,acg5p_c + h_c + nadph_c --> acg5sa_c + nadp_c + pi_c,b3958
ILETA_reverse,0.20551464141920306,1.0,23.19853436491095,0.0010701067901279205,;akg_c : 4.999999992621096e-07;3mop_c : 0.0021762628324078956;glu__L_c : 5.731168982612912e-06;ile__L_c : 4.999999992621096e-07,3mop_c + glu__L_c --> akg_c + ile__L_c,b3770
ACHBS,0.20551464141920306,1.0,21.203988256154844,0.00011505338392099216,;co2_c : 9.9999999997618e-05;pyr_c : 1.3223265105347658e-05;2obut_c : 0.02000000000856292;h_c : 1.0;2ahbut_c : 0.0011251874271059493,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,( b3670 and b3671 ) or ( b0077 and b0078 )
THRD_L,0.20551464141920306,1.0,39.9740074653388,0.00035099796875838815,;nh4_c : 0.0027845228801085314;2obut_c : 0.02000000000856292;thr__L_c : 0.02000000000856292,thr__L_c --> 2obut_c + nh4_c,b3772 or b3117
KARA2,0.20551464141920306,1.0,20.116565499629676,0.0007662580856164966,;h_c : 1.0;nadp_c : 0.0020000000008562916;23dhmp_c : 0.02000000000856292;nadph_c : 0.02000000000856292;2ahbut_c : 0.0011251874271059493,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c,b3774
DHAD2,0.20551464141920306,1.0,41.220539643387205,0.0003816682315894021,;h2o_c : 1.0;3mop_c : 0.0021762628324078956;23dhmp_c : 0.02000000000856292,23dhmp_c --> 3mop_c + h2o_c,b3771
HACD7,0.19669148048637908,1.0,5.8903540267332755,0.00020586669372235598,;3hhdcoa_c : 0.00018646596236335063;3ohdcoa_c : 1.913801709758091e-05;nadh_c : 0.0007084583731630467;h_c : 1.0;nad_c : 0.007084583731630468,3ohdcoa_c + h_c + nadh_c --> 3hhdcoa_c + nad_c,b2341 or b3846
ACOAD6f_reverse,0.19669148048637908,1.0,21.771279018435,0.00031802041308035683,;fadh2_c : 4.999999992621096e-07;td2coa_c : 4.999999992621096e-07;tdcoa_c : 4.999999992621096e-07;fad_c : 0.02000000000856292,fadh2_c + td2coa_c --> fad_c + tdcoa_c,b0221
ACACT6r,0.19669148048637908,1.0,-14.571280018435047,0.00039111764669963516,;3otdcoa_c : 1.913801709758091e-05;ddcacoa_c : 4.999999992621096e-07;accoa_c : 0.02000000000856292;coa_c : 4.999999992621096e-07,accoa_c + ddcacoa_c --> 3otdcoa_c + coa_c,b2342 or b3845
ECOAH6,0.19669148048637908,1.0,14.571280018435138,0.00023825675217867598,;h2o_c : 1.0;td2coa_c : 4.999999992621096e-07;3htdcoa_c : 0.00018646596236335063,3htdcoa_c --> h2o_c + td2coa_c,b2341 or b3846
ECOAH7,0.19669148048637908,1.0,14.571280018435138,0.0002715932469327612,;3hhdcoa_c : 0.00018646596236335063;h2o_c : 1.0;hdd2coa_c : 4.999999992621096e-07,3hhdcoa_c --> h2o_c + hdd2coa_c,b2341 or b3846
ACACT7r,0.19669148048637908,1.0,-14.571280018435044,0.00039111764669963516,;3ohdcoa_c : 1.913801709758091e-05;tdcoa_c : 4.999999992621096e-07;coa_c : 4.999999992621096e-07;accoa_c : 0.02000000000856292,accoa_c + tdcoa_c --> 3ohdcoa_c + coa_c,b2342 or b3845
HACD6,0.19669148048637908,1.0,5.890354026733268,0.00020322511822797677,;3otdcoa_c : 1.913801709758091e-05;nadh_c : 0.0007084583731630467;h_c : 1.0;nad_c : 0.007084583731630468;3htdcoa_c : 0.00018646596236335063,3otdcoa_c + h_c + nadh_c --> 3htdcoa_c + nad_c,b3846 or b2341
SO4tex,0.17813263736901752,1.0,-9999.0,-9999.0,;so4_p : 1.0;so4_e : 1.0,so4_e --> so4_p,b1377 or b0241 or b0929 or b2215
EX_so4_e_reverse,0.17813263736901752,1.0,-9999.0,-9999.0,;so4_e : 1.0, --> so4_e,
SO4t2pp,0.17813263736901752,1.0,-9999.0,-9999.0,;so4_p : 1.0;so4_c : 0.02000000000856292;h_c : 1.0;h_p : 1.0,h_p + so4_p --> h_c + so4_c,b2413
SADT2,0.17506401938431893,1.0,52.94883886081803,0.001611032932833073,;h2o_c : 1.0;so4_c : 0.02000000000856292;gtp_c : 2.9832196241931154e-05;gdp_c : 4.999999992621096e-07;ppi_c : 3.4549857648675275e-05;pi_c : 4.999999992620972e-07;atp_c : 5.411968104158758e-05;aps_c : 4.999999992621096e-07,atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c,b2752 and b2751
ADSK,0.17506401938431893,1.0,22.238366954831648,0.00011640169636014167,;adp_c : 5.411968104158752e-06;paps_c : 4.999999992621096e-07;aps_c : 4.999999992621096e-07;atp_c : 5.411968104158758e-05;h_c : 1.0,aps_c + atp_c --> adp_c + h_c + paps_c,b2750
SULR,0.17506401938431893,1.0,136.51510086449494,0.001486052146557839,;nadp_c : 0.0020000000008562916;h2o_c : 1.0;h2s_c : 4.999999992621096e-07;so3_c : 4.999999992621096e-07;nadph_c : 0.02000000000856292;h_c : 1.0,5.0 h_c + 3.0 nadph_c + so3_c --> 3.0 h2o_c + h2s_c + 3.0 nadp_c,b2764 and b2763
BPNT,0.17506401938431893,1.0,41.57526927458997,1.2363099513830432e-05,;h2o_c : 1.0;amp_c : 5.411968104158752e-06;pi_c : 4.999999992620972e-07;pap_c : 4.999999992621096e-07,h2o_c + pap_c --> amp_c + pi_c,b4214
PAPSR,0.17506401938431893,1.0,76.81782831146,8.735083048746799e-05,;so3_c : 4.999999992621096e-07;paps_c : 4.999999992621096e-07;trdrd_c : 4.999999992621096e-07;pap_c : 4.999999992621096e-07;h_c : 1.0;trdox_c : 4.999999992621096e-07,paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c,( b2582 and b2762 ) or ( b3781 and b2762 )
SERAT,0.17506401938431893,1.0,36.63439481109,0.0005061427678648557,;ser__L_c : 1.2707993127492566e-06;accoa_c : 0.02000000000856292;coa_c : 4.999999992621096e-07;acser_c : 4.999999992621096e-07,accoa_c + ser__L_c --> acser_c + coa_c,b3607
