,max_value,min_value,diff
ALR2,73.25744196313002,-36.05744196313001,109.31488392626002
ALR2x,72.25744196313002,-37.05744196313001,109.31488392626002
ALR4x,75.25744196313002,-34.05744196313001,109.31488392626002
ALTRH,64.728720981565,10.071279018434993,54.65744196313001
AM3PA,64.84654929302502,-17.139613651670004,81.98616294469502
AM4PA,64.84654929302502,-17.139613651670004,81.98616294469502
AMALT1,55.82744196313001,-53.48744196313001,109.31488392626002
AMALT2,55.857441963130015,-53.45744196313001,109.31488392626002
AMALT3,55.857441963130015,-53.45744196313001,109.31488392626002
AMALT4,55.857441963130015,-53.45744196313001,109.31488392626002
AMANAPEr,29.528720981565005,-25.128720981565003,54.65744196313001
AMANAPEr_reverse,25.128720981565003,-29.528720981565005,54.65744196313001
AMAOTr,55.95744196313001,-53.357441963130015,109.31488392626002
AMANK,70.15744196313001,-39.15744196313001,109.31488392626002
AMAOTr_reverse,53.357441963130015,-55.95744196313001,109.31488392626002
AMPMS2,368.49309858605005,204.52077269666,163.97232588939005
AMPTASECG,58.146549293025004,-23.839613651670007,81.98616294469501
AMPTASEPG,66.84654929302502,-15.139613651670004,81.98616294469502
ANHMK,52.15744196313001,-57.15744196313001,109.31488392626002
AMPN,82.44654929302502,0.4603863483299939,81.98616294469502
ANPRT,110.95744196313001,1.6425580368699855,109.31488392626002
ANS,172.57527027459,35.93166536676499,136.64360490782502
AP4AH,104.84654929302502,22.860386348329996,81.98616294469502
AOBUTDs,84.69728966291501,12.224746837822998,72.472542825092
AP4AS,55.81744196313001,-53.497441963130015,109.31488392626002
AP5AH,104.84654929302502,22.860386348329996,81.98616294469502
APH120,113.44654929302502,31.460386348329997,81.98616294469502
APH140,113.44654929302502,31.460386348329997,81.98616294469502
APH141,113.44654929302502,31.460386348329997,81.98616294469502
APH160,113.44654929302502,31.460386348329997,81.98616294469502
APH161,113.44654929302502,31.460386348329997,81.98616294469502
APH180,113.44654929302502,31.460386348329997,81.98616294469502
APH181,113.44654929302502,31.460386348329997,81.98616294469502
APPLDHr,71.55744196313,-37.75744196313001,109.31488392626002
APPLDHr_reverse,37.75744196313001,-71.55744196313,109.31488392626002
APRAUR,79.25744196313002,-30.05744196313001,109.31488392626002
ARABDI,22.02872098156501,-32.628720981565,54.65744196313001
