,max_Df under fixed Ci ratio,min_Df under fixed Ci ratio,diff under fixed Ci ratio
CTECOAI8_reverse,27.328720981565006,-27.328720981565006,54.65744196313001
CTPS2,113.31363722942166,-23.32996767840337,136.64360490782502
CURR,80.36708793639664,25.70964597326664,54.657441963130005
CYNTAH,110.48491624157913,38.012373416487094,72.47254282509203
CYSDDS,98.26437760448502,-11.050506321775003,109.31488392626002
CYSDS,107.66437760448503,-1.650506321775005,109.31488392626002
CYSS,103.75744196313002,-5.55744196313001,109.31488392626002
CYSTA,75.708182338178,-37.75744196313001,113.46562430130803
CYSTL,100.96437760448501,-8.350506321775004,109.31488392626001
CYTD,79.24654929302501,-2.7396136516700054,81.98616294469502
CYTDH,63.64654929302501,-18.339613651670007,81.98616294469502
CYTDK1,46.76708793639665,-7.8903540267333625,54.65744196313001
CYTDK2,65.65744196313001,-43.65744196313001,109.31488392626002
CYTK1_reverse,18.990354026733364,-35.66708793639665,54.65744196313001
CYTK1,35.66708793639665,-18.990354026733364,54.65744196313001
CYTK2,35.567087936396646,-19.090354026733365,54.65744196313001
CYTK2_reverse,19.090354026733365,-35.567087936396646,54.65744196313001
DAAD,120.57527027459,-16.06833463323501,136.64360490782502
DADA,82.54654929302501,0.5603863483299918,81.98616294469502
DADK_reverse,21.79035402673336,-32.86708793639665,54.65744196313001
DADK,32.86708793639665,-21.79035402673336,54.65744196313001
DAGK120,51.26708793639665,-3.3903540267333625,54.65744196313001
DAGK140,51.26708793639665,-3.3903540267333625,54.65744196313001
DAGK141,51.26708793639665,-3.3903540267333625,54.65744196313001
DAGK160,51.26708793639665,-3.3903540267333625,54.65744196313001
DAGK161,51.26708793639665,-3.3903540267333625,54.65744196313001
DAGK180,51.26708793639665,-3.3903540267333625,54.65744196313001
DAPAL,105.46437760448501,-3.8505063217750077,109.31488392626002
DAGK181,51.26708793639665,-3.3903540267333625,54.65744196313001
DAPDC,83.297289662915,10.824746837822993,72.472542825092
DAPE_reverse,25.628720981565007,-29.02872098156501,54.65744196313001
DATPHs,84.04654929302501,2.060386348329992,81.98616294469502
DB4PS,149.146549293025,67.16038634833001,81.986162944695
DAPE,29.02872098156501,-25.628720981565007,54.65744196313001
DBTS,43.33144842846864,-56.46981537818838,99.80126380665702
DCTPD,89.24654929302501,7.260386348329995,81.98616294469502
DCYTD,85.94654929302502,3.9603863483299975,81.98616294469502
DDGLK,56.16708793639665,1.509645973266636,54.65744196313001
DDGALK,49.36708793639665,-5.290354026733361,54.65744196313001
DDPA,123.55744196313,14.242558036869994,109.31488392626001
DDPGALA,51.64654929302501,-30.339613651670007,81.98616294469502
DDPGALA_reverse,30.339613651670007,-51.64654929302501,81.98616294469502
DGK1,32.36708793639665,-22.29035402673336,54.65744196313001
DHACOAH,28.048720981565005,-26.608720981565007,54.65744196313001
DGK1_reverse,22.29035402673336,-32.36708793639665,54.65744196313001
DHACOAH_reverse,26.608720981565007,-28.048720981565005,54.65744196313001
DHAD1,62.828720981565,8.171279018434994,54.657441963130005
DHAD2,62.828720981565,8.171279018434994,54.657441963130005
DHAPT,96.05744196313,-13.257441963130013,109.31488392626002
DHBD,62.667087936396655,8.009645973266643,54.65744196313001
DHBD_reverse,-8.009645973266643,-62.667087936396655,54.65744196313001
DHCIND,62.76708793639665,8.109645973266637,54.65744196313001
DHBSH,60.27654929302501,-21.709613651670004,81.98616294469502
DHCINDO,265.262879741976,195.15345070697498,70.10942903500103
DHFR,57.26708793639665,2.6096459732666375,54.65744196313001
DHCURR,80.36708793639664,25.70964597326664,54.657441963130005
DHDPS,131.23961365167,49.253450706974995,81.986162944695
DHDPRy,54.86708793639664,0.20964597326663892,54.657441963130005
DHFR_reverse,-2.6096459732666375,-57.26708793639665,54.65744196313001
DHMPTR,9.26708793639665,-45.39035402673336,54.65744196313001
DHNCOAS,101.728720981565,47.071279018435,54.657441963130005
DHNPA2r_reverse,29.239613651670005,-52.74654929302501,81.98616294469502
DHNCOAT,89.74654929302501,7.760386348329995,81.98616294469502
